Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,GM,2009-01-06,0.1315068493,0.1755865671,0.1815009147,100
Market Model,GM,2007-11-08,-0.134955752,-0.095127888,-0.089480085,100
Market Model,GM,2008-11-10,-0.391666667,-0.41302794,-0.348673108,100
Market Model,GM,2009-05-12,-0.248447205,-0.162270266,-0.158315188,100
Market Model,GM,2008-02-13,-0.038939781,-0.045987802,-0.045266947,100
Market Model,GM,2007-03-15,-0.043920026,-0.0481847,-0.047643753,100
Market Model,GM,2009-01-21,-0.155216285,-0.100417486,-0.088117567,100
Market Model,GM,2008-07-23,-0.006875477,0.0163093636,0.006084031,100
Market Model,GM,2006-10-25,-0.023586246,-0.047178581,-0.04839116,100
Market Model,GM,2008-10-29,0.1137614679,-0.176595176,-0.201598037,100
Market Model,GM,2008-04-30,0.0569735643,0.0478211097,0.0448446013,100
Market Model,GM,2007-07-31,0.0524115756,0.0476786316,0.0479269272,100
Market Model,CHTR,2013-08-01,0.0825658426,0.0544849691,0.0561900311,100
Market Model,CHTR,2015-05-01,-0.004301646,-0.008503698,-0.008377088,100
Market Model,CHTR,2020-05-01,0.0425738371,0.041430979,0.0418348757,100
Market Model,CHTR,2011-11-01,0.057261957,0.0940596747,0.0953511531,100
Market Model,CHTR,2011-08-02,-0.048888889,-0.050026331,-0.04980608,100
Market Model,CHTR,2012-08-02,0.0391315653,0.0305355496,0.0310049591,100
Market Model,CHTR,2018-02-02,-0.012405567,0.0281428121,0.0260520522,100
Market Model,CHTR,2017-05-02,-0.059885271,-0.063494413,-0.062590786,100
Market Model,CHTR,2016-11-03,0.0026445486,0.007700722,0.0073083332,100
Market Model,CHTR,2015-08-04,0.0144732594,0.0152737391,0.0149971851,100
Market Model,CHTR,2016-02-04,-0.020116279,-0.009485229,-0.010093015,100
Market Model,CHTR,2015-02-05,0.0978666835,0.0903545485,0.0921832875,100
Market Model,CHTR,2012-11-05,-0.078842444,-0.087610199,-0.085451238,100
Market Model,CHTR,2013-11-05,-0.066270732,-0.074925623,-0.073532015,100
Market Model,CHTR,2013-08-06,-0.03261194,-0.027459914,-0.027825366,100
Market Model,CHTR,2013-03-06,0.0323025635,0.0221697973,0.0222746949,100
Market Model,CHTR,2012-11-06,-0.074966711,-0.071862364,-0.069729175,100
Market Model,CHTR,2012-08-07,-0.049042913,-0.06114736,-0.060487207,100
Market Model,CHTR,2013-05-07,0.0519070835,0.0402271725,0.0405198725,100
Market Model,CHTR,2012-05-08,0.0904661361,0.0918184709,0.0938734903,100
Market Model,CHTR,2016-08-09,0.0821159334,0.082306669,0.0824110397,100
Market Model,CHTR,2017-09-13,-0.013149261,-0.016379974,-0.016619241,100
Market Model,CHTR,2017-02-16,0.0141304348,0.0045040846,0.0045173332,100
Market Model,CHTR,2013-05-16,-0.014413781,-0.028385094,-0.028397742,100
Market Model,CHTR,2017-05-17,-0.016164699,-0.001219859,-0.001258217,100
Market Model,CHTR,2013-02-22,0.068085652,0.0845962345,0.0815356013,100
